,Job title,Location,Date,Link,Job Attributes,Job description
1,Direct Support Professionals wanted for Brain Injury Program,Braintree and Stoughton south shore ,Feb 10,https://boston.craigslist.org/sob/npo/d/braintree-direct-support-professionals/7444339785.html,"
compensation: $18.25 p/hour. 3 weeks vacation, 12 sick days and 11 holidays. Eliot pays 75% of health and dental insurance and 100% of Life, AD&D, Short and Long Term Disability insurance for full time employees

employment type: full-time

job title: Brain Injury Support Specialist

non-profit organization

","

QR Code Link to This Post


A unique opportunity to join a newly formed team of professionals to start up a new services for individuals with brain injuries. Eliot's programs provides a person centered innovative supports and services to adults with brain injuries. Our programs are designed to meet the individual needs of each person we serve that enriches and enhances their lives.

Eliot offers an array of restorative skill building activities and supports for adults with Acquired Brain Injuries. Our Adult Day Services Program and Adult Residential Programs provide a full spectrum of services to rebuild communication proficiency, social & behavioral skills, self help abilities, and management of daily life activities.



Responsibilities:
Be alert and responsive to the needs of individuals if required
Provide support and training in the areas identified within the I.S.P. to promote personal growth and accomplishment (may include assistance with personal care and hygiene, as required).
Administer medication according to MAP regulations
Perform housekeeping tasks as necessary. 
Report all maintenance and safety issues to supervisor. 
Report significant health, psychiatric and behavioral issues to Program Manager.
Attend and participate in meetings and trainings 
Support individuals with a variety of medical, physical, cognitive, and socioemotional needs in completing daily activities including but not limited to ADLs, laundry, meal preparation, cleaning, leisure activity, etc.
Actively engage individuals in enriching activities that promote skill building and independence.
Requirements:
High school Diploma or GED
21 years or older.
Driver's license and reliable vehicle (absolute must).
Minimum of 6 months experience working with intellectually disabled or brain injured adults.
CNA, PCA or HHA certificate not required but preferred
MAP certification not required but preferred.
Various schedules available
Hourly rate: $18.25
COVID-19 Policy.
Eliot mandates COVID-19 vaccinations for employees, please discuss the requirements with the hiring manager during the interview process. 


Eliot is a non-profit human service organization with more than 2,000 employees who work each day to enhance the lives of Massachusetts most vulnerable populations. Programs collaborate with one another, utilizing the expertise within the agency to provide the highest standard of quality services to clients and their families.   Eliot is committed to a client-centered approach of service delivery that meets individuals’ needs and improves the lives of people served through an array of programs. 
Eliot provides industry-leading benefits, including ample holiday, vacation, and sick time, as well as comprehensive medical plans, dependent care assistance, and wellness programs. Eliot also provides a 401(k) Retirement Plan with an employer match and 100% company-paid life and accidental death insurance and numerous other benefits to help staff members invest in their future. Eliot promotes growth with ongoing professional development training and tuition reimbursement. 
Click here to learn more about Eliot and the services we offer.
 "
2,Counselor - per diem- Mirasol Center- Women's Stabilization,Boston boston/cambridge/brookline ,Feb 10,https://boston.craigslist.org/gbs/npo/d/boston-counselor-per-diem-mirasol/7444315837.html,"
compensation: 24.00

employment type: full-time

job title: Counselor - per diem- Mirasol Center- Women's Stab

non-profit organization

","

QR Code Link to This Post


Bay Cove Human Services has been recognized by the Boston Globe as one of the Top Places to Work in 2021. This is the sixth year that Bay Cove has been acknowledged for this distinction.  

Job Summary: 

Working under the direction of the Clinical Director of the Women’s Stabilization Services program, the Counselor works with a multidisciplinary team, and is responsible for providing clinical services (including assessment, individual and group therapy) and care coordination for patients in the program.  As the program supports women in active addiction with a history of trauma, the Counselor collaborates with patients in a supportive and recovery-oriented manner, while facilitating harm reduction and trauma responsive treatment and services.  The Counselor partners with patients to establish their treatment and recovery goals, and ensures that patients are seamlessly transitioned to the next level of care and community supports. 

This is a non-exempt position.

Supervisory Responsibilities: N/A

Essential Functions of Position:

Provides counseling/therapy that promotes a stable clinical and psychological condition for patients. 
Completes the bio-psychosocial assessment to assess patient’s social, psychological and motivational needs and develop their initial individual treatment and discharge plans.
Promotes ongoing participation of the client with decisions involving treatment planning and goal setting.
Works closely with the patient, and natural or social supports, as well as the program’s multidisciplinary teams to ensure ongoing (at least every 48 hours) review and updating of patients’ treatment plans. 
Facilitate clinical therapy with patients through individual, group and (as necessary) family sessions.
Maintains relevant and timely counseling progress notes. 
Participates in ongoing multidisciplinary case conferences/client care meetings.
Leads various psycho-educational, therapy and recovery-oriented groups as assigned and ensure all relevant documentation.
Adheres to federal and state policies (42 CFR Part 2, HIPAA) and ensures appropriate releases are obtained to exchange and disclosure necessary client information.
Participates in staff/supervision meetings and attend related professional development sessions/trainings. 
Performs other duties as assigned

Requirements for the position:

BA/BS or minimum four years of experience in a Human Services field.  
Licensure of Alcohol and Drug Counselor (LADC I or LADC II) or Certified Addictions Counselor (CAC) or Certified Alcohol and Drug Abuse Counselor (CADAC) preferred. 
Minimum three years of experience in substance use disorder treatment and at least two years of counseling experience.  
Strong knowledge of the substance use treatment continuum and services and related community resources.  Demonstrated ability to work with individuals with substance use disorders.  
A COVID-19 vaccination is a requirement of the position.  One COVID-19 shot is acceptable, contingent on the individual receiving the second shot within the allotted time frame

Personal Characteristics:

Ability to maintain confidentiality
Ability to exercise sound judgment, remain calm under pressure and establish firm boundaries in order to effectively address client concerns and/or respond to emergencies as they arise
Ability to adapt and successfully function within a fast-paced service environment with competing demands
Demonstrated organizational skills
Strong social, verbal and written communication skills
Demonstrated proficiency with utilizing computers and related software (i.e. Microsoft Office, Google etc.)
"
3,Hiring for Mental Health Case Managers!,Saugus and surrounding towns boston/cambridge/brookline ,Feb 10,https://boston.craigslist.org/gbs/npo/d/saugus-hiring-for-mental-health-case/7444315438.html,"
compensation: $42,680 to $46,680 3 weeks vacation, 12 sick days and 11 holidays. Eliot pays 75% of health and dental insurance and 100% of Life, AD&D, Short and Long Term Disability insurance for full time employees

employment type: full-time

job title: Intensive Case Manager

non-profit organization

","

QR Code Link to This Post


Eliot is known for our innovative clinical approach, high quality clinical training and for having the most talented people in community behavioral health services. Eliot’s Behavioral Health Division provides an integrated and comprehensive network of services to adults with psychiatric disabilities that are evidence based, provide rehabilitation and hope to those in services. 

Eliot is seeking an Intensive Case Manager to join a multi-disciplinary team to provide clinical interventions to people with severe and persistent mental illness living independently. The Intensive Case Manager engages each individual in increasing motivation to achieve their goals. Empowering individuals to maintain stability and improving their quality of life. 


Responsibilities:Provide support to each individual as part of the multi-disciplinary team.
Provide side by side interventions that focus on problem solving, skill training modeling, optimism and encouragement.
Work with the team and each individual in the development of a person-centered treatment plan.
Assist each individual in being fully integrated in their communities by supporting them in the development of natural supports.
Empower each individual to exercise control over their lives, focused on their treatment, leisure activities, employment and their personal recovery.
Requirements:
Bachelors or Masters degree
21 years or older.
Driver's license and reliable vehicle (absolute must).
2 years experience working with people with severe and persistent mental illnesses is preferred.
Various schedules available
Salary: 42,680 for Bachelor's degree & $46,680 for Master's degree
COVID-19 Policy.
Eliot mandates COVID-19 vaccinations for employees, please discuss the requirements with the hiring manager during the interview process. 


Eliot is a non-profit human service organization with more than 2,000 employees who work each day to enhance the lives of Massachusetts most vulnerable populations. Programs collaborate with one another, utilizing the expertise within the agency to provide the highest standard of quality services to clients and their families.   Eliot is committed to a client-centered approach of service delivery that meets individuals’ needs and improves the lives of people served through an array of programs. 
Eliot provides industry-leading benefits, including ample holiday, vacation, and sick time, as well as comprehensive medical plans, dependent care assistance, and wellness programs. Eliot also provides a 401(k) Retirement Plan with an employer match and 100% company-paid life and accidental death insurance and numerous other benefits to help staff members invest in their future. Eliot promotes growth with ongoing professional development training and tuition reimbursement. 
Click here to learn more about Eliot and the services we offer.
 "
4,Counselor - Mirasol Center for Healing,Boston boston/cambridge/brookline ,Feb 10,https://boston.craigslist.org/gbs/npo/d/boston-counselor-mirasol-center-for/7444315087.html,"
compensation: To Be Determined

employment type: full-time

job title: Counselor - Mirasol Center for Healing

non-profit organization

","

QR Code Link to This Post


Bay Cove Human Services has been recognized by the Boston Globe as one of the Top Places to Work in 2021. This is the sixth year that Bay Cove has been acknowledged for this distinction.  

Job Summary: 

Working under the direction of the Clinical Director of the Women’s Stabilization Services program, the Counselor works with a multidisciplinary team, and is responsible for providing clinical services (including assessment, individual and group therapy) and care coordination for patients in the program.  As the program supports women in active addiction with a history of trauma, the Counselor collaborates with patients in a supportive and recovery-oriented manner, while facilitating harm reduction and trauma responsive treatment and services.  The Counselor partners with patients to establish their treatment and recovery goals, and ensures that patients are seamlessly transitioned to the next level of care and community supports. 

This is a non-exempt position.

Supervisory Responsibilities: N/A

Essential Functions of Position:

Provides counseling/therapy that promotes a stable clinical and psychological condition for patients. 
Completes the bio-psychosocial assessment to assess patient’s social, psychological and motivational needs and develop their initial individual treatment and discharge plans.
Promotes ongoing participation of the client with decisions involving treatment planning and goal setting.
Works closely with the patient, and natural or social supports, as well as the program’s multidisciplinary teams to ensure ongoing (at least every 48 hours) review and updating of patients’ treatment plans. 
Facilitate clinical therapy with patients through individual, group and (as necessary) family sessions.
Maintains relevant and timely counseling progress notes. 
Participates in ongoing multidisciplinary case conferences/client care meetings.
Leads various psycho-educational, therapy and recovery-oriented groups as assigned and ensure all relevant documentation.
Adheres to federal and state policies (42 CFR Part 2, HIPAA) and ensures appropriate releases are obtained to exchange and disclosure necessary client information.
Participates in staff/supervision meetings and attend related professional development sessions/trainings. 
Performs other duties as assigned

Requirements for the position:

BA/BS or minimum four years of experience in a Human Services field.  
Licensure of Alcohol and Drug Counselor (LADC I or LADC II) or Certified Addictions Counselor (CAC) or Certified Alcohol and Drug Abuse Counselor (CADAC) preferred. 
Minimum three years of experience in substance use disorder treatment and at least two years of counseling experience.  
Strong knowledge of the substance use treatment continuum and services and related community resources.  Demonstrated ability to work with individuals with substance use disorders.  
A COVID-19 vaccination is a requirement of the position.  One COVID-19 shot is acceptable, contingent on the individual receiving the second shot within the allotted time frame
Personal Characteristics:

Ability to maintain confidentiality
Ability to exercise sound judgment, remain calm under pressure and establish firm boundaries in order to effectively address client concerns and/or respond to emergencies as they arise
Ability to adapt and successfully function within a fast-paced service environment with competing demands
Demonstrated organizational skills
Strong social, verbal and written communication skills
Demonstrated proficiency with utilizing computers and related software (i.e. Microsoft Office, Google etc.)


Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.
"
5,Counselor - Women`s Stabilization,Boston boston/cambridge/brookline ,Feb 10,https://boston.craigslist.org/gbs/npo/d/boston-counselor-womens-stabilization/7444314047.html,"
compensation: To Be Determined

employment type: full-time

job title: Counselor - Women`s Stabilization

non-profit organization

","

QR Code Link to This Post


Bay Cove Human Services has been recognized by the Boston Globe as one of the Top Places to Work in 2021. This is the sixth year that Bay Cove has been acknowledged for this distinction.  

Mission Statement:

Bay Cove Human Services partners with people to overcome challenges and realize personal potential.

Job Summary:

Working under the direction of the Clinical Director of the Clinical Stabilization Services (CSS) program, the Counselor works with a multidisciplinary team, and is responsible for providing clinical services (including assessment, individual and group therapy) and case management for clients in the CSS program. The Counselor also ensures that clients are seamlessly transitioned to the next level of care. This is a non-exempt position.

Supervisory Responsibilities: N/A

Essential Functions of Position:

Provides counseling/therapy that promotes a
Completes the bio-psychosocial assessment within 48 hours after
Works closely with the patient, their family and/or natural or
Facilitate clinical therapy with patients
Maintains relevant and timely counseling
Participates in ongoing multidisciplinary case
Leads various psycho-educational, therapy and recovery
Adheres to federal and state policies (42 CFR
Participates in staff/supervision meetings and
Performs other duties as assigned

Requirements for the position:

BA/BS or minimum four years of experience

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.
"
6,RN/Healthcare Supervisor,Randolph south shore ,Feb 10,https://boston.craigslist.org/sob/npo/d/randolph-rn-healthcare-supervisor/7444280011.html,"
compensation: $85,000 per year

employment type: full-time

job title: Registered Nurse (RN)

non-profit organization

","

QR Code Link to This Post


Looking for a rewarding and creative work environment?

As the RN/Healthcare Supervisor, you will coordinate, monitor and support the healthcare and physical needs of people served while ensuring that services provided are in compliance with Mass Health, DDS, ICARF, DPH and agency policy and procedures.

Schedule: Monday-Friday (8AM-4:30PM)   No On-Call / Weekends

Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
Professional Development and Education Assistance.
Free BJ’s Wholesale Club Membership.
Free on-site parking.

Responsibilities:
Provide oversight of treatment as recommended by a Licensed Therapist and Primary Care Physician(PCP) orders.
Ability to work collaboratively as a member of the interdisciplinary treatment team and attend scheduled meetings.
Participate in completing severity profiles, establish medical plans of care, and document monthly and semi-annual progress, participate in program referrals and discharges process.
Conduct in-service training for staff on medical topics including, but not limited to, Medication Administration Program(MAP) and Blood Borne Pathogens/Universal Precautions, Seizure Protocols, Dietary Needs and Individual Needs.
Assist and attend to personal care needs/ADL’s for people served as needed.
Provide on-going supervision and job performance evaluation for the Licensed Practical Nurse(LPN).
Participate in Day Hab Service Plan (DHSP) development and meetings.
Review and ensure that both electronic and paper medical records such as annual updates of physical examinations, emergency treatment forms, doctors’ orders are current and meet established guidelines.
Provide physical support, assistance with lifting and transferring people served as needed.
Monitor Day Hab lunch as assigned and ensure that individual adaptive equipment, protocols and diets are followed.
Supervise daily operations of the Day Hab program in the absence of Program Director and Day Hab Service Manager.
Perform other work related duties as assigned by supervisor.

Qualifications:
Current license as a Registered Nurse in Massachusetts.
Have at least 2 years of nursing experience.
Demonstrated ability to work both independently and collaboratively with a culturally diverse population of individuals, co-workers, care providers, family, community members and others.
Demonstrated ability to handle multiple responsibilities in a fast-paced and challenging environment.
Ability to lift up to 50 pounds as needed.
Valid driver’s license and acceptable driving record is required.
Pass criminal background check (CORI) and National Fingerprint Background Check.
"
7,"Part-Time Dining Site Manager, $18/hour","Waltham, MA boston/cambridge/brookline ",Feb 10,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-dining-site-manager/7444156157.html,"
compensation: $18.00/hour

employment type: part-time

job title: Part-Time Dining Site Manager

non-profit organization

","

QR Code Link to This Post


A rewarding Part-Time Dining Site Manager position is available in Springwell's Senior Community Dining Site Program in Watertown and Newton!
Available Positions:

Watertown: This position is for a 25-hour work week. Monday-Friday from 8:30 AM to 1:30 PM.
Newton: This position is for a 20-hour work week. Monday-Friday from 9:00 AM to 1:00 PM.

Benefits include paid holidays, sick, and vacation time.
QUALIFICATIONS

Must be organized, efficient, and enjoy working with elders.
Willing to occasionally cover at other dining sites as needed and be able to lift 25 lbs.
Willing to attend staff meetings every other month at Springwell in Waltham.
A reliable car, current driver's license, and safe driving record required.
Some experience in human services work, preferably with the elderly, preferred.
Experience with food service a plus.


We look forward to hearing from you soon!


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services

For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2221893-143011
 "
8,"Part-Time Floating Nutrition Assistant, $18/hour","Waltham, MA boston/cambridge/brookline ",Feb 10,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-floating-nutrition/7444155022.html,"
compensation: $18.00/hour

employment type: part-time

job title: Part-Time Floating Nutrition Assistant

non-profit organization

","

QR Code Link to This Post


Springwell is looking for a Part-Time Floating Nutrition Assistant to cover daily operations of the Nutrition Department, providing hunger relief to elders in the suburbs West of Boston.
POSITION DESCRIPTION
Duties are included but not limited to: meal delivery to elders, serving meals at elder lunch sites, and other projects as assigned.
This position offers $18.00/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. and includes paid holiday, vacation and sick time and is eligible for benefits. Mileage is included when a home delivered meal route is covered.
QUALIFICATIONS

A reliable car, current driver's license, and safe driving record required.
Must be able to lift 20lbs.
Must be flexible, able to work independently, friendly, and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.

BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Meals on Wheels, Driver, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services

If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2221889-143011
 "
9,"Part-Time Dining Site Assistant Manager, $18/hour","Waltham, MA boston/cambridge/brookline ",Feb 10,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-dining-site-assistant/7444154243.html,"
compensation: $18.00 Hourly

employment type: part-time

job title: Part-Time Dining Site Assistant Manager

non-profit organization

","

QR Code Link to This Post


Community Nutrition Program seeks Part-Time Dining Site Assistants in Brookline and Belmont. This position offers $18.00/hour for a 15-hour work week: Monday-Friday from 10:30 AM- 1:30 PM. Benefits include paid holidays, sick, and vacation time.

QUALIFICATIONS

Must be organized, efficient, and enjoy working with elders.
Willing to occasionally cover at other dining sites as needed and be able to lift 25 lbs.
Willing to attend staff meetings every other month at Springwell in Waltham.
A reliable car, current driver's license, and safe driving record required.
Some experience in human services work, preferably with the elderly, preferred.
Experience with food service a plus.


We look forward to hearing from you soon!

If interested, please apply at https://springwell.applicantpro.com/jobs/


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services

For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2221881-143011
 "
10,"Part-Time Home Delivered Meals Lead Driver, $18.50/hour","Waltham, MA boston/cambridge/brookline ",Feb 10,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-home-delivered-meals/7444153463.html,"
compensation: $18.50/hour

employment type: part-time

job title: Part-Time Home Delivered Meals Lead Driver

non-profit organization

","

QR Code Link to This Post


Looking to give back? Consider delivering meals to local seniors! Springwell is seeking a Part-Time Meals on Wheels Lead Driver to deliver meals to seniors living in Newton! This position will also be responsible for the packing and coordination of meals as well as record-keeping for the Newton meal program.This position offers $18.50/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. This position is benefits eligible and includes paid holidays, sick, and vacation time.
Mileage reimbursement of $0.58 1/2 per mile for route.

QUALIFICATIONS

A reliable car, current driver's license, and safe driving record required.
Must be able to lift 25lbs.
Must have excellent customer service skills and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.


For information or to apply, please visit our website at https://springwell.applicantpro.com/jobs/

We look forward to hearing from you soon!


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Meals on Wheels, Driver, Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services, Delivery

For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2221876-143011
 "
